id_venta,fecha,ciudad,canal,categoria,metodo_pago,edad_cliente,cantidad,precio_unitario,descuento_pct,cliente_frecuente,total
1067,2026-06-12 10:00:00,Chihuahua,Web,Ropa,Tarjeta,39.0,1,2173.66,10.0,False,1956.29
1063,2026-03-07 14:00:00,Ciudad Juárez,Tienda,Electrónica,Tarjeta,29.0,7,2263.15,5.0,False,15049.95
1066,2026-02-28 14:00:00,Ciudad Juárez,App,Ropa,Efectivo,54.0,1,1965.91,5.0,True,1867.61
1079,2026-04-12 12:00:00,Ciudad de México,Tienda,Ropa,Tarjeta,31.0,4,353.48,0.0,False,1413.92
1001,2026-01-17 14:00:00,Ciudad Juárez,App,Ropa,Tarjeta,33.0,2,2473.38,0.0,False,4946.76
1029,2026-04-09 19:00:00,Guadalajara,Tienda,Ropa,Tarjeta,,2,948.19,15.0,False,1611.92
1030,2026-03-21 08:00:00,Monterrey,Web,Hogar,Tarjeta,20.0,6,1371.84,10.0,False,7407.94
1053,2026-03-07 18:00:00,Ciudad de México,App,Electrónica,Tarjeta,45.0,2,803.46,10.0,False,1446.23
1017,2026-04-03 16:00:00,Guadalajara,Web,Electrónica,Transferencia,30.0,1,765.55,15.0,True,650.72
1074,2026-01-24 13:00:00,Chihuahua,Tienda,Electrónica,Transferencia,68.0,3,2462.22,15.0,True,6278.66
1090,2026-05-30 18:00:00,Monterrey,Tienda,Alimentos,Transferencia,48.0,1,2015.05,5.0,False,1914.3
1012,2026-06-25 15:00:00,Monterrey,Tienda,Hogar,Efectivo,145.0,3,419.15,15.0,True,1068.83
1047,2026-03-22 12:00:00,Ciudad Juárez,Tienda,Hogar,Efectivo,20.0,6,484.89,5.0,True,2763.87
1010,2026-01-17 16:00:00,Ciudad Juárez,Tienda,Alimentos,Efectivo,49.0,1,1112.76,5.0,False,1057.12
1035,2026-06-09 14:00:00,Monterrey,Web,Electrónica,Efectivo,54.0,4,2137.44,5.0,False,8122.27
1115,2026-04-02 14:00:00,Ciudad de México,App,Alimentos,Transferencia,58.0,4,2139.31,5.0,False,8129.38
1056,2026-01-08 14:00:00,Monterrey,App,Ropa,Transferencia,49.0,6,731.15,20.0,False,3509.52
1038,2026-05-29 15:00:00,Guadalajara,Tienda,Hogar,Efectivo,56.0,3,1488.45,0.0,False,4465.35
1095,2026-06-11 18:00:00,Monterrey,Web,Electrónica,Transferencia,41.0,1,169.31,10.0,True,152.38
1117,2026-01-07 17:00:00,Ciudad Juárez,App,Ropa,Transferencia,38.0,5,2140.69,10.0,False,9633.11
1089,2026-05-19 11:00:00,Ciudad Juárez,Tienda,Hogar,Efectivo,39.0,5,1410.88,,False,7054.4
1067,2026-06-12 10:00:00,Chihuahua,Web,Ropa,Tarjeta,39.0,1,2173.66,10.0,False,1956.29
1091,2026-03-20 11:00:00,Monterrey,Tienda,Alimentos,Tarjeta,45.0,4,2315.52,0.0,True,9262.08
1043,2026-05-07 13:00:00,Guadalajara,Web,Alimentos,Transferencia,41.0,4,307.2,5.0,True,1167.36
1060,2026-05-03 15:00:00,Ciudad Juárez,Tienda,Hogar,Transferencia,50.0,1,1569.88,10.0,False,1412.89
1073,2026-03-25 16:00:00,Ciudad Juárez,Web,Ropa,Transferencia,37.0,6,2426.05,20.0,True,11645.04
1024,2026-06-16 13:00:00,Ciudad de México,Tienda,Hogar,Tarjeta,58.0,5,1612.09,10.0,True,7254.4
1097,2026-02-13 09:00:00,Ciudad de México,Tienda,Ropa,Tarjeta,26.0,4,1704.5,15.0,False,5795.3
1075,2026-05-04 21:00:00,,Tienda,Ropa,Efectivo,48.0,1,756.16,5.0,True,718.35
1059,2026-05-14 20:00:00,Chihuahua,Tienda,Electrónica,Tarjeta,21.0,1,2455.42,10.0,False,2209.88
1048,2026-06-10 10:00:00,Monterrey,Web,Ropa,Efectivo,28.0,4,880.2,10.0,True,3168.72
1116,2026-04-13 18:00:00,Ciudad de México,App,Alimentos,Transferencia,49.0,2,902.68,0.0,False,1805.36
1118,2026-01-26 14:00:00,Ciudad de México,App,Hogar,Tarjeta,51.0,2,782.41,15.0,False,1330.1
1072,2026-02-04 16:00:00,Guadalajara,App,Ropa,Efectivo,27.0,2,1652.55,10.0,False,2974.59
1005,2026-03-19 19:00:00,Guadalajara,App,Alimentos,Transferencia,18.0,7,396.91,20.0,True,2222.7
1098,2026-05-03 09:00:00,Chihuahua,Web,Ropa,Tarjeta,25.0,6,1797.48,10.0,False,9706.39
1087,2026-01-18 18:00:00,Chihuahua,Tienda,Hogar,Efectivo,46.0,2,1994.52,5.0,False,3789.59
1019,2026-06-01 12:00:00,Ciudad Juárez,Tienda,Electrónica,Transferencia,52.0,3,1486.79,15.0,True,3791.31
1070,2026-03-26 12:00:00,Ciudad Juárez,Web,Electrónica,Tarjeta,22.0,3,1128.22,20.0,False,2707.73
1082,2026-03-20 20:00:00,Ciudad Juárez,App,Electrónica,Tarjeta,47.0,6,1249.76,5.0,True,7123.63
1025,2026-05-21 21:00:00,Ciudad de México,Tienda,Ropa,Transferencia,61.0,5,1640.42,0.0,False,8202.1
1015,2026-05-10 19:00:00,Guadalajara,Tienda,Ropa,Tarjeta,32.0,2,159.39,10.0,True,286.9
1049,2026-05-03 12:00:00,Monterrey,Web,Alimentos,Tarjeta,18.0,6,519.43,20.0,True,2493.26
1054,2026-03-26 18:00:00,Chihuahua,Web,Alimentos,Transferencia,68.0,3,1516.27,10.0,False,4093.93
1109,2026-03-26 15:00:00,Ciudad Juárez,Web,Hogar,Transferencia,67.0,3,1709.35,5.0,False,4871.65
1101,2026-05-30 09:00:00,Guadalajara,Tienda,Ropa,Tarjeta,53.0,6,1861.61,20.0,True,8935.73
1080,2026-05-01 21:00:00,Guadalajara,Web,Alimentos,Efectivo,51.0,6,48000.0,5.0,False,856.82
1034,2026-04-10 12:00:00,Ciudad de México,App,Hogar,Transferencia,24.0,4,1933.14,20.0,False,6186.05
1076,2026-03-27 09:00:00,Guadalajara,Web,Ropa,Tarjeta,41.0,6,1847.7,10.0,True,9977.58
1105,2026-05-24 18:00:00,Ciudad de México,Web,Electrónica,Efectivo,24.0,6,1573.65,5.0,False,8969.8
1103,2026-05-25 17:00:00,Guadalajara,Tienda,Electrónica,Tarjeta,65.0,2,169.96,10.0,True,125000.0
1086,2026-05-07 11:00:00,Chihuahua,Tienda,Alimentos,Transferencia,67.0,2,1058.36,0.0,True,2116.72
1068,2026-03-08 13:00:00,Monterrey,Web,Alimentos,Transferencia,27.0,2,329.55,5.0,True,626.14
1044,2026-03-05 13:00:00,Monterrey,App,Hogar,Transferencia,26.0,7,1026.45,5.0,True,6825.89
1026,2026-04-26 19:00:00,Monterrey,Tienda,Electrónica,Efectivo,54.0,5,1692.0,20.0,False,6768.0
1094,2026-03-11 14:00:00,Ciudad de México,Web,Alimentos,Tarjeta,51.0,7,963.12,15.0,False,5730.56
1013,2026-05-13 09:00:00,Ciudad Juárez,Tienda,Alimentos,Transferencia,68.0,4,493.27,10.0,True,1775.77
1022,2026-03-08 11:00:00,Ciudad Juárez,App,Hogar,Transferencia,66.0,5,646.99,0.0,True,3234.95
1041,2026-01-30 21:00:00,Chihuahua,Tienda,Ropa,Tarjeta,22.0,6,1272.1,0.0,False,7632.6
1110,2026-05-07 10:00:00,Ciudad Juárez,Tienda,Hogar,Tarjeta,32.0,1,122.54,15.0,True,104.16
1096,2026-02-21 11:00:00,Ciudad de México,Web,Hogar,Transferencia,66.0,7,317.74,15.0,False,1890.55
1020,2026-03-23 14:00:00,Monterrey,Tienda,Electrónica,Transferencia,59.0,4,1258.56,10.0,False,4530.82
1078,2026-02-10 09:00:00,Guadalajara,Tienda,Electrónica,Efectivo,58.0,1,898.91,15.0,True,764.07
1036,2026-01-12 17:00:00,Monterrey,Web,Ropa,Efectivo,44.0,5,1286.74,10.0,True,5790.33
1077,2026-03-01 12:00:00,Guadalajara,App,Ropa,Transferencia,46.0,7,1887.46,15.0,True,11230.39
1037,2026-06-04 09:00:00,Monterrey,Tienda,Electrónica,,46.0,4,2278.4,5.0,True,8657.92
1038,2026-05-29 15:00:00,Guadalajara,Tienda,Hogar,Efectivo,56.0,3,1488.45,0.0,False,4465.35
1021,2026-04-01 21:00:00,Guadalajara,App,Hogar,Transferencia,68.0,5,256.08,10.0,True,1152.36
1065,2026-03-15 14:00:00,Monterrey,Web,Ropa,Efectivo,41.0,6,2409.87,5.0,False,13736.26
1071,2026-05-24 17:00:00,Guadalajara,Web,Alimentos,Tarjeta,58.0,4,1405.1,5.0,True,5339.38
1081,2026-06-19 13:00:00,Chihuahua,Tienda,Ropa,Tarjeta,63.0,5,1954.49,20.0,False,7817.96
1088,2026-02-26 21:00:00,Ciudad Juárez,Tienda,Ropa,Tarjeta,33.0,5,257.81,20.0,True,1031.24
1096,2026-02-21 11:00:00,Ciudad de México,Web,Hogar,Transferencia,66.0,7,317.74,15.0,False,1890.55
1084,2026-05-30 17:00:00,Ciudad de México,Tienda,Alimentos,Transferencia,25.0,3,1189.18,5.0,False,3389.16
1027,2026-03-14 08:00:00,Monterrey,Tienda,Hogar,Efectivo,60.0,5,1919.11,20.0,True,7676.44
1102,2026-02-05 14:00:00,Chihuahua,Tienda,Ropa,Efectivo,39.0,5,2012.14,20.0,False,8048.56
